NORTHERN REGION,,Total,,Brush,,Grass,,Timber,,Woodland,,Other
Amador,,221,,,4,,112,2,,,0,103
El Dorado,,586,,,62,,371,22,,,6,125
Sacramento,,83,,,0,,55,0,,,0,28
San Joaquin,,67,,,0,,2,0,,,0,65
"",Amador-El Dorado,957,,,66,,540,24,,,6,321
Butte,,"3,416",,,96,,963,74,,,2,"2,281"
Tehama,,"6,896",,,0,,0,"6,896",,,0,0
"",Butte,"10,312",,,96,,963,"6,970",,,2,"2,281"
Del Norte,,15,,,0,,5,1,,,8,1
Humboldt,,335,,,12,,241,32,,,1,49
"",Humboldt-Del Norte,350,,,12,,246,33,,,9,50
Lassen,,181,,,18,,39,9,,,13,102
Modoc,,629,,,4,,98,10,,,0,517
Plumas,,2,,,0,,0,1,,,0,1
Shasta,,1,,,0,,0,1,,,0,0
Siskiyou,,1,,,0,,0,0,,,0,1
"",Lassen-Modoc,814,,,22,,137,21,,,13,621
Mendocino,,696,,,2,,274,312,,,0,108
"",Mendocino,696,,,2,,274,312,,,0,108
Nevada,,131,,,8,,31,12,,,10,70
Placer,,175,,,6,,73,7,,,2,87
Sierra,,4,,,0,,0,0,,,3,1
Sutter,,1,,,0,,1,0,,,0,0
Yuba,,229,,,0,,192,2,,,1,34
"",Nevada-Yuba-Placer,540,,,14,,297,21,,,16,192
San Mateo,,13,,,0,,6,2,,,0,5
Santa Cruz,,45,,,4,,6,11,,,0,24
"",San Mateo-Santa Cruz,58,,,4,,12,13,,,0,29
NORTHERN REGION,,Total,,Brush,,Grass,,Timber,,Woodland,,Other
Alameda,,843,,,1,839,,0,,,0,3
Contra Costa,,"3,971",,,1,"3,732",,0,,,0,238
Santa Clara,,148,,,0,129,,1,,,0,18
W. San Joaquin,,1,,,0,1,,0,,,0,0
W. Stanislaus,,190,,,0,190,,0,,,0,0
"",Santa Clara,"5,153",,,2,"4,891",,1,,,0,259
E. Trinity,,23,,,0,5,,6,,,3,9
Shasta,,"8,693",,,30,"8,363",,30,,,7,263
"",Shasta-Trinity,"8,716",,,30,"8,368",,36,,,10,272
Shasta,,2,,,0,0,,2,,,0,0
Siskiyou,,134,,,1,104,,13,,,13,3
"",Siskiyou,136,,,1,104,,15,,,13,3
Colusa,,11,,,2,9,,0,,,0,0
Lake,,870,,,532,206,,2,,,2,128
Napa,,447,,,29,412,,3,,,0,3
Solano,,166,,,0,116,,0,,,0,50
Sonoma,,"4,189",,,37,"3,931",,14,,,86,121
Yolo,,189,,,3,185,,0,,,0,1
Sonoma-Lake-Napa,,"5,872",,,603,"4,859",,19,,,88,303
Glenn,,224,,,0,223,,0,,,0,1
Tehama,,"12,168",,,9,"12,117",,2,,,5,35
"",Tehama-Glenn,"12,392",,,9,"12,340",,2,,,5,36
NORTHERN REGION TOTAL,,"45,996",,,861,"33,031",,"7,467",,,162,"4,475"
