"",,A,B,C,D,E,F,G
SOUTHERN REGION,Total,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Fresno,"$109,085","$40,802","$24,833","$14,450","$29,000",$0,$0,$0
Kings,"$1,200",$200,$400,$600,$0,$0,$0,$0
Fresno-Kings,"$110,285","$41,002","$25,233","$15,050","$29,000",$0,$0,$0
Madera,"$26,145",$225,"$5,820","$17,200","$2,900",$0,$0,$0
Mariposa,"$14,003",$3,"$3,500","$10,500",$0,$0,$0,$0
Merced,"$81,080",$0,$0,"$60,000",$0,"$21,080",$0,$0
Madera-Mariposa,"$121,228",$228,"$9,320","$87,700","$2,900","$21,080",$0,$0
Riverside,"$335,600",$0,"$254,600","$81,000",$0,$0,$0,$0
Riverside,"$335,600",$0,"$254,600","$81,000",$0,$0,$0,$0
Monterey,"$165,076",$601,"$1,730","$2,745",$0,"$160,000",$0,$0
San Benito,"$8,215",$30,$185,"$8,000",$0,$0,$0,$0
San Benito-Monterey,"$173,291",$631,"$1,915","$10,745",$0,"$160,000",$0,$0
Inyo,"$20,007",$0,$0,$0,$0,$7,$0,"$20,000"
San Bernardino,"$419,810","$2,000","$137,802",$8,$0,$0,"$280,000",$0
San Bernardino,"$439,817","$2,000","$137,802",$8,$0,$7,"$280,000","$20,000"
San Diego,"$341,962","$9,762","$94,200","$232,000",$0,$0,"$1,000","$5,000"
San Diego,"$341,962","$9,762","$94,200","$232,000",$0,$0,"$1,000","$5,000"
San Luis Obispo,"$123,200","$25,000","$28,700","$56,000","$2,000",$0,"$11,500",$0
San Luis Obispo,"$123,200","$25,000","$28,700","$56,000","$2,000",$0,"$11,500",$0
Tulare,"$76,685",$500,"$28,075","$3,600",$0,"$20,250","$24,260",$0
Tulare,"$76,685",$500,"$28,075","$3,600",$0,"$20,250","$24,260",$0
Calaveras,"$322,326","$1,926","$104,750","$215,650",$0,$0,$0,$0
E. San Joaquin,"$13,210","$7,000","$6,210",$0,$0,$0,$0,$0
E. Stanislaus,"$376,795",$35,"$17,950","$29,610","$104,800",$0,"$224,400",$0
Tuolumne,"$644,582","$9,605","$9,334","$578,443","$47,200",$0,$0,$0
Tuolumne-Calaveras,"$1,356,913","$18,566","$138,244","$823,703","$152,000",$0,"$224,400",$0
SOUTHERN REGION TOTAL,"$3,078,981","$97,689","$718,089","$1,309,806","$185,900","$201,337","$541,160","$25,000"
STATE TOTAL,"$7,222,651","$1,056,486","$2,350,541","$2,341,466","$276,660","$631,338","$541,160","$25,000"
