"",,A,B,C,D,E,F,G
NORTHERN REGION,Total,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Amador,"$7,200","$1,000","$6,200",$0,$0,$0,$0,$0
El Dorado,"$157,152","$45,101","$57,051","$43,000","$12,000",$0,$0,$0
Sacramento,"$260,912",$0,"$135,912","$125,000",$0,$0,$0,$0
Amador-El Dorado,"$425,264","$46,101","$199,163","$168,000","$12,000",$0,$0,$0
Butte,"$436,760","$15,610","$346,150","$75,000",$0,$0,$0,$0
Tehama,"$5,000",$0,"$5,000",$0,$0,$0,$0,$0
Butte,"$441,760","$15,610","$351,150","$75,000",$0,$0,$0,$0
Del Norte,"$108,305","$8,305",$0,"$100,000",$0,$0,$0,$0
Humboldt,"$43,000","$18,500","$24,500",$0,$0,$0,$0,$0
Humboldt-Del Norte,"$151,305","$26,805","$24,500","$100,000",$0,$0,$0,$0
Lassen,"$422,912",$0,$132,$500,"$422,280",$0,$0,$0
Modoc,$50,$0,$50,$0,$0,$0,$0,$0
Plumas,$5,$5,$0,$0,$0,$0,$0,$0
Lassen-Modoc,"$422,967",$5,$182,$500,"$422,280",$0,$0,$0
Mendocino,"$1,271,921","$17,301",$2,$0,"$1,250,000",$0,"$4,618",$0
Mendocino,"$1,271,921","$17,301",$2,$0,"$1,250,000",$0,"$4,618",$0
Nevada,"$68,830","$24,030","$44,800",$0,$0,$0,$0,$0
Placer,"$225,355","$104,854","$10,501",$0,$0,$0,"$110,000",$0
Sierra,$0,$0,$0,$0,$0,$0,$0,$0
Yuba,"$287,200",$0,"$37,200","$250,000",$0,$0,$0,$0
Nevada-Yuba-Placer,"$581,385","$128,884","$92,501","$250,000",$0,$0,"$110,000",$0
San Mateo,"$25,102",$100,"$20,002","$5,000",$0,$0,$0,$0
Santa Cruz,"$69,670","$12,110","$57,560",$0,$0,$0,$0,$0
San Mateo-Santa,,,,,,,,
Cruz,"$94,772","$12,210","$77,562","$5,000",$0,$0,$0,$0
"",,A,B,C,D,E,F,G
NORTHERN REGION,Total,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Alameda,"$17,100",$0,"$1,800","$15,300",$0,$0,$0,$0
Contra Costa,"$17,451","$2,100",$351,"$15,000",$0,$0,$0,$0
Santa Clara,"$4,302",$200,"$4,102",$0,$0,$0,$0,$0
W. San Joaquin,"$20,600",$0,$600,"$20,000",$0,$0,$0,$0
W. Stanislaus,$0,$0,$0,$0,$0,$0,$0,$0
Santa Clara,"$59,453","$2,300","$6,853","$50,300",$0,$0,$0,$0
E. Trinity,"$5,400","$1,900","$3,500",$0,$0,$0,$0,$0
Shasta,"$84,700","$10,500","$43,500",$700,$0,$0,"$30,000",$0
Shasta-Trinity,"$90,100","$12,400","$47,000",$700,$0,$0,"$30,000",$0
Shasta,$0,$0,$0,$0,$0,$0,$0,$0
Siskiyou,"$11,415","$3,100","$7,900",$315,$100,$0,$0,$0
Siskiyou,"$11,415","$3,100","$7,900",$315,$100,$0,$0,$0
Colusa,$0,$0,$0,$0,$0,$0,$0,$0
Lake,"$3,274,740","$5,020","$69,720",$0,$0,"$2,000,000","$1,200,000",$0
Napa,"$87,603","$1,000","$81,603",$0,"$5,000",$0,$0,$0
Solano,"$2,512",$900,"$1,202",$10,$400,$0,$0,$0
Sonoma,"$691,886",$735,"$691,151",$0,$0,$0,$0,$0
Yolo,$4,$0,$4,$0,$0,$0,$0,$0
Sonoma-Lake-Napa,"$4,056,745","$7,655","$843,680",$10,"$5,400","$2,000,000","$1,200,000",$0
Glenn,$200,$0,$200,$0,$0,$0,$0,$0
Tehama,"$16,489,420",$520,"$72,800","$1,354,100","$50,000","$12,000",$0,"$15,000,000"
Tehama-Glenn,"$16,489,620",$520,"$73,000","$1,354,100","$50,000","$12,000",$0,"$15,000,000"
NORTHERN REGION,,,,,,,,
TOTAL,"$24,096,707","$272,891","$1,723,493","$2,003,925","$1,739,780","$2,012,000","$1,344,618","$15,000,000"
