"",,A,B,C,D,E,F,G
SOUTHERN REGION,Total,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Fresno,"$745,291","$1,500","$513,451","$226,340","$4,000",$0,$0,$0
Kings,"$3,600",$0,$500,"$3,100",$0,$0,$0,$0
Fresno-Kings,"$748,891","$1,500","$513,951","$229,440","$4,000",$0,$0,$0
Madera,"$9,060","$1,250","$2,150","$5,660",$0,$0,$0,$0
Mariposa,"$80,202",$2,"$5,200",$0,$0,$0,"$75,000",$0
Merced,"$4,000",$0,"$4,000",$0,$0,$0,$0,$0
Madera-Mariposa,"$93,262","$1,252","$11,350","$5,660",$0,$0,"$75,000",$0
Riverside,"$1,494,451","$120,751","$363,000",$500,"$100,200","$660,000","$250,000",$0
Riverside,"$1,494,451","$120,751","$363,000",$500,"$100,200","$660,000","$250,000",$0
Monterey,"$444,355","$10,668","$380,052","$15,700",$0,$0,"$37,935",$0
San Benito,"$1,480",$0,"$1,000",$480,$0,$0,$0,$0
San Benito-Monterey,"$445,835","$10,668","$381,052","$16,180",$0,$0,"$37,935",$0
Inyo,$0,$0,$0,$0,$0,$0,$0,$0
San Bernardino,"$33,300","$26,400",$700,"$6,200",$0,$0,$0,$0
San Bernardino,"$33,300","$26,400",$700,"$6,200",$0,$0,$0,$0
San Diego,"$1,011,115",$201,$704,"$10,210",$0,"$200,000","$800,000",$0
San Diego,"$1,011,115",$201,$704,"$10,210",$0,"$200,000","$800,000",$0
San Luis Obispo,"$43,800","$11,100","$20,700","$12,000",$0,$0,$0,$0
San Luis Obispo,"$43,800","$11,100","$20,700","$12,000",$0,$0,$0,$0
Tulare,"$8,906",$75,"$1,331","$7,500",$0,$0,$0,$0
Tulare,"$8,906",$75,"$1,331","$7,500",$0,$0,$0,$0
Calaveras,"$166,265","$1,762","$106,113","$56,390","$2,000",$0,$0,$0
E. San Joaquin,"$17,900",$0,"$5,000","$12,900",$0,$0,$0,$0
E. Stanislaus,"$3,875",$25,"$1,400","$2,450",$0,$0,$0,$0
Tuolumne,"$48,893",$221,"$15,372","$5,300","$23,000","$5,000",$0,$0
Tuolumne-Calaveras,"$236,933","$2,008","$127,885","$77,040","$25,000","$5,000",$0,$0
SOUTHERN REGION,,,,,,,,
TOTAL,"$4,116,493","$173,955","$1,420,673","$364,730","$129,200","$865,000","$1,162,935",$0
STATE TOTAL,"$28,213,200","$446,846","$3,144,166","$2,368,655","$1,868,980","$2,877,000","$2,507,553","$15,000,000"
