"",,A,B,C,D,E,F,G
NORTHERN REGION,Total,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Amador,"$2,050","$1,500",$550,$0,$0,$0,$0,$0
El Dorado,"$2,168,563","$19,150","$1,016,913","$480,500","$652,000",$0,$0,$0
Sacramento,$2,$0,$2,$0,$0,$0,$0,$0
San Joaquin,$1,$0,$1,$0,$0,$0,$0,$0
Amador-El Dorado,"$2,170,616","$20,650","$1,017,466","$480,500","$652,000",$0,$0,$0
Butte,"$843,776","$25,152","$21,100","$119,000",$0,"$625,000","$53,524",$0
Tehama,$0,$0,$0,$0,$0,$0,$0,$0
Butte,"$843,776","$25,152","$21,100","$119,000",$0,"$625,000","$53,524",$0
Del Norte,$20,$0,$20,$0,$0,$0,$0,$0
Humboldt,"$48,505","$10,001","$11,004","$2,500","$25,000",$0,$0,$0
Humboldt-Del Norte,"$48,525","$10,001","$11,024","$2,500","$25,000",$0,$0,$0
Lassen,"$5,377","$2,452",$925,"$2,000",$0,$0,$0,$0
Modoc,"$30,051",$210,"$21,281","$8,560",$0,$0,$0,$0
Plumas,"$1,274","$1,024",$250,$0,$0,$0,$0,$0
Shasta,$1,$0,$1,$0,$0,$0,$0,$0
Siskiyou,$200,$0,$200,$0,$0,$0,$0,$0
Lassen-Modoc,"$36,903","$3,686","$22,657","$10,560",$0,$0,$0,$0
Mendocino,"$314,912","$32,554","$277,358","$5,000",$0,$0,$0,$0
Mendocino,"$314,912","$32,554","$277,358","$5,000",$0,$0,$0,$0
Nevada,"$332,568","$12,938","$17,630","$302,000",$0,$0,$0,$0
Placer,"$69,951","$8,600","$41,351","$20,000",$0,$0,$0,$0
Sierra,$0,$0,$0,$0,$0,$0,$0,$0
Sutter,$0,$0,$0,$0,$0,$0,$0,$0
Yuba,"$34,257","$5,000","$19,257","$10,000",$0,$0,$0,$0
Nevada-Yuba-Placer,"$436,776","$26,538","$78,238","$332,000",$0,$0,$0,$0
San Mateo,"$1,215",$215,"$1,000",$0,$0,$0,$0,$0
Santa Cruz,"$749,518","$6,508","$743,010",$0,$0,$0,$0,$0
San Mateo-Santa,,,,,,,,
Cruz,"$750,733","$6,723","$744,010",$0,$0,$0,$0,$0
"",,A,B,C,D,E,F,G
NORTHERN REGION,Total,.25 acres or <,.26-9.99 acres,10-99 acres,100-299 acres,300-999 acres,1000-4999 acres,5000 acres >
Alameda,"$142,125","$2,250","$3,702","$117,923","$18,250",$0,$0,$0
Contra Costa,"$112,910","$5,110",$500,"$3,300",$0,"$4,000","$100,000",$0
Santa Clara,"$13,560",$100,"$10,360","$1,100","$2,000",$0,$0,$0
W. San Joaquin,$0,$0,$0,$0,$0,$0,$0,$0
W. Stanislaus,"$119,100",$0,"$92,000",$0,"$27,100",$0,$0,$0
Santa Clara,"$387,695","$7,460","$106,562","$122,323","$47,350","$4,000","$100,000",$0
E. Trinity,"$2,250",$0,"$2,250",$0,$0,$0,$0,$0
Shasta,"$5,501,893","$47,600","$55,102","$95,000",$0,$0,$0,"$5,304,191"
Shasta-Trinity,"$5,504,143","$47,600","$57,352","$95,000",$0,$0,$0,"$5,304,191"
Shasta,$1,$0,$1,$0,$0,$0,$0,$0
Siskiyou,"$2,400",$0,$400,"$2,000",$0,$0,$0,$0
Siskiyou,"$2,401",$0,$401,"$2,000",$0,$0,$0,$0
Colusa,"$1,020",$100,$920,$0,$0,$0,$0,$0
Lake,"$404,321","$168,041","$110,730","$5,000","$120,050",$500,$0,$0
Napa,"$102,762","$5,120","$89,642","$6,000",$0,"$2,000",$0,$0
Solano,"$327,704",$2,"$172,700","$155,002",$0,$0,$0,$0
Sonoma,"$9,366,896","$81,520","$284,376",$500,$500,$0,"$9,000,000",$0
Yolo,"$15,000",$0,"$15,000",$0,$0,$0,$0,$0
Sonoma-Lake-Napa,"$10,217,703","$254,783","$673,368","$166,502","$120,550","$2,500","$9,000,000",$0
Glenn,"$2,500",$0,$0,$0,"$2,500",$0,$0,$0
Tehama,"$346,400","$3,500","$276,900","$5,000","$11,000",$0,$0,"$50,000"
Tehama-Glenn,"$348,900","$3,500","$276,900","$5,000","$13,500",$0,$0,"$50,000"
NORTHERN REGION,,,,,,,,
TOTAL,"$21,063,083","$438,647","$3,286,436","$1,340,385","$858,400","$631,500","$9,153,524","$5,354,191"
