,date,awnd,prcp,snow,tavg,tmax
madera_2010,2010.0,5.8,16.905,0.0,59.975,72.0
madera_2011,2011.0,5.4,23.23,,59.65,72.05
madera_2012,2012.0,,29.680000000000003,45.7,62.56666666666666,74.7
madera_2013,2013.0,,7.633333333333334,15.45,62.725,76.35
madera_2014,2014.0,,11.054,0.0,64.64,77.74
madera_2015,2015.0,5.8,14.6025,1.05,63.58,76.03999999999999
madera_2016,2016.0,5.8,27.696666666666662,0.0,62.825,75.52
inyo_2010,2010.0,7.6,8.012,1.7666666666666666,62.91111111111112,76.15555555555557
inyo_2011,2011.0,,2.17,0.6,63.271428571428565,76.60000000000001
inyo_2012,2012.0,8.1,2.376,3.85,65.36666666666666,79.35555555555555
inyo_2013,2013.0,8.3,2.3428571428571425,0.16666666666666666,63.64000000000001,77.33
inyo_2014,2014.0,8.1,3.2028571428571424,0.05,64.78999999999999,78.22999999999999
inyo_2015,2015.0,8.1,3.1050000000000004,0.0,64.48888888888888,77.8111111111111
inyo_2016,2016.0,8.1,3.762857142857143,1.0,65.1,78.8
glenn_2010,2010.0,,28.675,0.0,60.63333333333333,72.93333333333334
glenn_2012,2012.0,,20.31,0.0,60.8,74.0
glenn_2014,2014.0,,23.439999999999998,,63.339999999999996,76.36000000000001
glenn_2015,2015.0,,9.775,,62.5,75.32499999999999
glenn_2016,2016.0,,21.88333333333333,0.0,61.54,73.82000000000001
glenn_2011,2011.0,,17.14,,60.4,73.46666666666667
glenn_2013,2013.0,,5.256666666666667,,62.36666666666667,77.36666666666667
plumas_2010,2010.0,,45.27,88.2,48.775000000000006,62.375
plumas_2011,2011.0,,23.05,128.6,48.60000000000001,62.67142857142857
plumas_2012,2012.0,,41.69,,51.525,66.14000000000001
plumas_2015,2015.0,,22.033333333333335,30.73333333333333,52.51666666666666,68.31666666666666
plumas_2016,2016.0,,46.419999999999995,49.9,51.20000000000001,65.86666666666666
plumas_2013,2013.0,,9.863999999999999,22.0,49.18,66.24
plumas_2014,2014.0,,31.44333333333334,12.2,52.98,68.96000000000001
kings_2010,2010.0,6.25,13.469999999999999,0.0,63.15,75.25
kings_2011,2011.0,6.9,7.5685714285714285,0.0,62.160000000000004,75.14999999999999
kings_2012,2012.0,6.15,5.9325,0.0,64.84,78.25999999999999
kings_2013,2013.0,6.35,2.3737500000000002,0.0,64.875,78.6
kings_2014,2014.0,6.75,6.045,0.0,67.4,80.86
kings_2015,2015.0,6.25,5.0337499999999995,0.0,66.1,79.5
kings_2016,2016.0,5.1,7.890000000000001,0.0,66.22,79.36000000000001
trinity_2010,2010.0,,46.51666666666666,5.9,53.17999999999999,65.69090909090909
trinity_2011,2011.0,,29.6675,2.0,53.03333333333333,66.3
trinity_2012,2012.0,,42.62,27.6,54.25000000000001,67.86666666666667
trinity_2013,2013.0,,12.6575,,54.95,70.10999999999999
trinity_2014,2014.0,,32.6825,0.0,57.199999999999996,71.42222222222222
trinity_2015,2015.0,,26.805,4.0,57.21,71.35999999999999
trinity_2016,2016.0,,45.09,2.0,55.33636363636364,68.40909090909089
santa_cruz_2010,2010.0,3.8,39.556666666666665,0.0,56.96666666666667,67.31666666666666
santa_cruz_2011,2011.0,3.8,31.2675,,56.9,67.83333333333334
santa_cruz_2015,2015.0,4.3,18.56375,,60.620000000000005,73.35000000000001
santa_cruz_2016,2016.0,4.3,43.67444444444445,,59.4,69.49999999999999
santa_cruz_2012,2012.0,3.8,38.91166666666667,0.0,58.4,70.34
santa_cruz_2013,2013.0,3.8,5.8549999999999995,0.0,58.739999999999995,72.5
santa_cruz_2014,2014.0,4.0,34.462222222222216,0.0,60.78333333333333,72.55
tulare_2011,2011.0,,9.87,0.0,55.120000000000005,67.09
tulare_2010,2010.0,,32.326,72.71666666666667,56.15833333333333,68.575
tulare_2012,2012.0,,13.78,,58.42999999999999,70.52000000000001
tulare_2013,2013.0,,7.92,,57.73,70.26
tulare_2014,2014.0,,17.588,124.15,58.78333333333334,71.27692307692307
tulare_2015,2015.0,,14.77,,60.6888888888889,72.58888888888889
tulare_2016,2016.0,,15.0,,57.563636363636355,70.15833333333335
butte_2010,2010.0,6.0,47.84,0.0,59.15714285714286,69.4875
butte_2011,2011.0,5.6,31.256666666666664,,60.1,71.08333333333334
butte_2013,2013.0,5.6,10.873333333333333,,61.5625,73.25
butte_2014,2014.0,5.8,35.05625,0.0,62.628571428571426,73.35714285714288
butte_2015,2015.0,5.8,15.84888888888889,0.0,62.425000000000004,73.55
butte_2016,2016.0,6.0,46.34888888888889,0.0,60.825,71.675
butte_2012,2012.0,,43.5025,,59.5,70.30000000000001
del_norte_2011,2011.0,8.1,66.64666666666668,,52.0,60.825
del_norte_2012,2012.0,8.5,98.41333333333334,,51.974999999999994,60.375
